table	subject	metric	value
headhead	shared/literal-rare	kind	literal
headhead	shared/literal-rare	arm	gist-base
headhead	shared/literal-rare	clauses	1
headhead	shared/literal-rare	atoms	1
headhead	shared/literal-rare	filtered	1
headhead	shared/literal-rare	cand_docs	60
headhead	shared/literal-rare	cand_bytes	1903650
headhead	shared/literal-rare	cand_byte_frac	0.081109
headhead	shared/literal-rare	hits	60
headhead	shared/literal-rare	precision	1.000000
headhead	shared/literal-rare	query_us	18
headhead	shared/literal-rare	csearch_own_docs	-1
headhead	shared/literal-rare	kind	literal
headhead	shared/literal-rare	arm	gist
headhead	shared/literal-rare	clauses	1
headhead	shared/literal-rare	atoms	1
headhead	shared/literal-rare	filtered	1
headhead	shared/literal-rare	cand_docs	60
headhead	shared/literal-rare	cand_bytes	1903650
headhead	shared/literal-rare	cand_byte_frac	0.081109
headhead	shared/literal-rare	hits	60
headhead	shared/literal-rare	precision	1.000000
headhead	shared/literal-rare	query_us	7
headhead	shared/literal-rare	csearch_own_docs	-1
headhead	shared/literal-rare	kind	literal
headhead	shared/literal-rare	arm	csearch
headhead	shared/literal-rare	clauses	5
headhead	shared/literal-rare	atoms	5
headhead	shared/literal-rare	filtered	1
headhead	shared/literal-rare	cand_docs	60
headhead	shared/literal-rare	cand_bytes	1903650
headhead	shared/literal-rare	cand_byte_frac	0.081109
headhead	shared/literal-rare	hits	60
headhead	shared/literal-rare	precision	1.000000
headhead	shared/literal-rare	query_us	7
headhead	shared/literal-rare	csearch_own_docs	58
headhead	shared/literal-dotted	kind	literal
headhead	shared/literal-dotted	arm	gist-base
headhead	shared/literal-dotted	clauses	1
headhead	shared/literal-dotted	atoms	1
headhead	shared/literal-dotted	filtered	1
headhead	shared/literal-dotted	cand_docs	40
headhead	shared/literal-dotted	cand_bytes	1298465
headhead	shared/literal-dotted	cand_byte_frac	0.055324
headhead	shared/literal-dotted	hits	38
headhead	shared/literal-dotted	precision	0.950000
headhead	shared/literal-dotted	query_us	20
headhead	shared/literal-dotted	csearch_own_docs	-1
headhead	shared/literal-dotted	kind	literal
headhead	shared/literal-dotted	arm	gist
headhead	shared/literal-dotted	clauses	1
headhead	shared/literal-dotted	atoms	1
headhead	shared/literal-dotted	filtered	1
headhead	shared/literal-dotted	cand_docs	40
headhead	shared/literal-dotted	cand_bytes	1298465
headhead	shared/literal-dotted	cand_byte_frac	0.055324
headhead	shared/literal-dotted	hits	38
headhead	shared/literal-dotted	precision	0.950000
headhead	shared/literal-dotted	query_us	11
headhead	shared/literal-dotted	csearch_own_docs	-1
headhead	shared/literal-dotted	kind	literal
headhead	shared/literal-dotted	arm	csearch
headhead	shared/literal-dotted	clauses	9
headhead	shared/literal-dotted	atoms	9
headhead	shared/literal-dotted	filtered	1
headhead	shared/literal-dotted	cand_docs	40
headhead	shared/literal-dotted	cand_bytes	1298465
headhead	shared/literal-dotted	cand_byte_frac	0.055324
headhead	shared/literal-dotted	hits	38
headhead	shared/literal-dotted	precision	0.950000
headhead	shared/literal-dotted	query_us	17
headhead	shared/literal-dotted	csearch_own_docs	38
headhead	shared/literal-common	kind	literal
headhead	shared/literal-common	arm	gist-base
headhead	shared/literal-common	clauses	1
headhead	shared/literal-common	atoms	1
headhead	shared/literal-common	filtered	1
headhead	shared/literal-common	cand_docs	367
headhead	shared/literal-common	cand_bytes	6590467
headhead	shared/literal-common	cand_byte_frac	0.280800
headhead	shared/literal-common	hits	366
headhead	shared/literal-common	precision	0.997275
headhead	shared/literal-common	query_us	4
headhead	shared/literal-common	csearch_own_docs	-1
headhead	shared/literal-common	kind	literal
headhead	shared/literal-common	arm	gist
headhead	shared/literal-common	clauses	1
headhead	shared/literal-common	atoms	1
headhead	shared/literal-common	filtered	1
headhead	shared/literal-common	cand_docs	367
headhead	shared/literal-common	cand_bytes	6590467
headhead	shared/literal-common	cand_byte_frac	0.280800
headhead	shared/literal-common	hits	366
headhead	shared/literal-common	precision	0.997275
headhead	shared/literal-common	query_us	2
headhead	shared/literal-common	csearch_own_docs	-1
headhead	shared/literal-common	kind	literal
headhead	shared/literal-common	arm	csearch
headhead	shared/literal-common	clauses	2
headhead	shared/literal-common	atoms	2
headhead	shared/literal-common	filtered	1
headhead	shared/literal-common	cand_docs	367
headhead	shared/literal-common	cand_bytes	6590467
headhead	shared/literal-common	cand_byte_frac	0.280800
headhead	shared/literal-common	hits	366
headhead	shared/literal-common	precision	0.997275
headhead	shared/literal-common	query_us	4
