section	key	metric	value
tier	literal-rare	cand_frac_directory	0.081109
tier	literal-rare	cand_frac_tiered	0.081109
tier	literal-rare	sound	yes
tier	literal-dotted	cand_frac_directory	0.055324
tier	literal-dotted	cand_frac_tiered	0.055324
tier	literal-dotted	sound	yes
tier	literal-common	cand_frac_directory	0.280800
tier	literal-common	cand_frac_tiered	0.280800
tier	literal-common	sound	yes
tier	literal-punct2	cand_frac_directory	1.000000
tier	literal-punct2	cand_frac_tiered	0.395816
tier	literal-punct2	sound	yes
tier	regex-decl	cand_frac_directory	0.280800
tier	regex-decl	cand_frac_tiered	0.280800
tier	regex-decl	sound	yes
tier	regex-dotted	cand_frac_directory	0.052730
tier	regex-dotted	cand_frac_tiered	0.052730
tier	regex-dotted	sound	yes
tier	regex-anchored	cand_frac_directory	0.280800
tier	regex-anchored	cand_frac_tiered	0.280800
tier	regex-anchored	sound	yes
tier	regex-classcount	cand_frac_directory	1.000000
tier	regex-classcount	cand_frac_tiered	1.000000
tier	regex-classcount	sound	yes
tier	regex-alternation	cand_frac_directory	0.605694
tier	regex-alternation	cand_frac_tiered	0.605694
tier	regex-alternation	sound	yes
tier	regex-dense-scan	cand_frac_directory	1.000000
tier	regex-dense-scan	cand_frac_tiered	1.000000
tier	regex-dense-scan	sound	yes
tier	regex-eol	cand_frac_directory	1.000000
tier	regex-eol	cand_frac_tiered	1.000000
tier	regex-eol	sound	yes
tier	regex-litalt	cand_frac_directory	1.000000
tier	regex-litalt	cand_frac_tiered	0.630093
tier	regex-litalt	sound	yes
race	literal-rare/gist	median_ms	1361.4
race	literal-rare/gist	hits	0
race	literal-rare/zoekt	median_ms	78.9
race	literal-rare/zoekt	hits	0
race	literal-rare/zoekt	verdict	loss
race	literal-rare/csearch	median_ms	3.8
race	literal-rare/csearch	hits	0
race	literal-rare/csearch	verdict	loss
race	literal-dotted/gist	median_ms	1646.8
race	literal-dotted/gist	hits	260
race	literal-dotted/zoekt	median_ms	122.2
race	literal-dotted/zoekt	hits	262
race	literal-dotted/zoekt	verdict	loss
race	literal-dotted/csearch	median_ms	59.2
race	literal-dotted/csearch	hits	260
race	literal-dotted/csearch	verdict	loss
race	literal-common/gist	median_ms	3315.6
race	literal-common/gist	hits	89389
race	literal-common/zoekt	median_ms	617.3
race	literal-common/zoekt	hits	102839
race	literal-common/zoekt	verdict	loss
race	literal-common/csearch	median_ms	2431.9
race	literal-common/csearch	hits	90339
race	literal-common/csearch	verdict	parity
race	literal-punct2/gist	median_ms	2059.6
race	literal-punct2/gist	hits	27927
race	literal-punct2/zoekt	median_ms	92.5
race	literal-punct2/zoekt	hits	0
race	literal-punct2/zoekt	verdict	loss
race	literal-punct2/csearch	median_ms	34025.0
race	literal-punct2/csearch	hits	28077
race	literal-punct2/csearch	verdict	win
race	regex-decl/gist	median_ms	2181.9
race	regex-decl/gist	hits	9990
race	regex-decl/zoekt	median_ms	286.9
race	regex-decl/zoekt	hits	10090
race	regex-decl/zoekt	verdict	loss
race	regex-decl/csearch	median_ms	1479.8
race	regex-decl/csearch	hits	10047
race	regex-decl/csearch	verdict	loss
race	regex-dotted/gist	median_ms	1160.1
race	regex-dotted/gist	hits	0
race	regex-dotted/zoekt	median_ms	82.3
race	regex-dotted/zoekt	hits	0
race	regex-dotted/zoekt	verdict	loss
race	regex-dotted/csearch	median_ms	5.0
race	regex-dotted/csearch	hits	0
race	regex-dotted/csearch	verdict	loss
race	regex-anchored/gist	median_ms	2073.0
race	regex-anchored/gist	hits	10285
race	regex-anchored/zoekt	median_ms	1787.4
race	regex-anchored/zoekt	hits	10390
race	regex-anchored/zoekt	verdict	parity
race	regex-anchored/csearch	median_ms	1431.5
race	regex-anchored/csearch	hits	10346
race	regex-anchored/csearch	verdict	loss
race	regex-classcount/gist	median_ms	1998.1
race	regex-classcount/gist	hits	870
race	regex-classcount/zoekt	median_ms	7286.3
race	regex-classcount/zoekt	hits	1154
race	regex-classcount/zoekt	verdict	win
race	regex-classcount/csearch	median_ms	7312.7
race	regex-classcount/csearch	hits	869
race	regex-classcount/csearch	verdict	win
race	regex-alternation/gist	median_ms	4152.8
race	regex-alternation/gist	hits	130541
race	regex-alternation/zoekt	median_ms	667.2
race	regex-alternation/zoekt	hits	94936
race	regex-alternation/zoekt	verdict	loss
race	regex-alternation/csearch	median_ms	4039.3
race	regex-alternation/csearch	hits	131380
race	regex-alternation/csearch	verdict	parity
race	regex-dense-scan/gist	median_ms	7792.8
race	regex-dense-scan/gist	hits	338799
race	regex-dense-scan/zoekt	median_ms	1666.1
race	regex-dense-scan/zoekt	hits	21684
race	regex-dense-scan/zoekt	verdict	loss
race	regex-dense-scan/csearch	median_ms	30212.0
race	regex-dense-scan/csearch	hits	344663
race	regex-dense-scan/csearch	verdict	win
race	regex-eol/gist	median_ms	7985.1
race	regex-eol/gist	hits	215344
race	regex-eol/zoekt	median_ms	560.8
race	regex-eol/zoekt	hits	62360
race	regex-eol/zoekt	verdict	loss
race	regex-eol/csearch	median_ms	31672.7
race	regex-eol/csearch	hits	216841
race	regex-eol/csearch	verdict	win
race	regex-litalt/gist	median_ms	3377.2
race	regex-litalt/gist	hits	83328
race	regex-litalt/zoekt	median_ms	6570.4
race	regex-litalt/zoekt	hits	57181
race	regex-litalt/zoekt	verdict	win
race	regex-litalt/csearch	median_ms	31855.5
race	regex-litalt/csearch	hits	85121
race	regex-litalt/csearch	verdict	win
positional	cap8/T0	pct_corpus	0.0
positional	cap8/T0	sidecar_mib	0.0
positional	cap8/T64	pct_corpus	3.8
positional	cap8/T64	sidecar_mib	7.1
positional	cap8/T256	pct_corpus	8.8
positional	cap8/T256	sidecar_mib	16.5
positional	cap8/T512	pct_corpus	12.9
positional	cap8/T512	sidecar_mib	24.4
positional	cap8/T1024	pct_corpus	18.6
positional	cap8/T1024	sidecar_mib	35.0
positional	cap8/T2048	pct_corpus	26.1
positional	cap8/T2048	sidecar_mib	49.2
positional	cap8/T4096	pct_corpus	35.5
positional	cap8/T4096	sidecar_mib	66.9
positional	cap8/T8192	pct_corpus	47.3
positional	cap8/T8192	sidecar_mib	89.1
positional	cap8/T16384	pct_corpus	57.5
positional	cap8/T16384	sidecar_mib	108.2
positional	cap8/Tuniform	pct_corpus	57.8
positional	cap8/Tuniform	sidecar_mib	108.8
positional	capinf/T0	pct_corpus	0.0
positional	capinf/T0	sidecar_mib	0.0
positional	capinf/T1024	pct_corpus	39.8
positional	capinf/T1024	sidecar_mib	74.9
positional	capinf/T4096	pct_corpus	72.3
positional	capinf/T4096	sidecar_mib	136.0
positional	capinf/Tuniform	pct_corpus	130.6
positional	capinf/Tuniform	sidecar_mib	245.8
resident	kmem_cache_alloc	gist_rss_mib	580
resident	kmem_cache_alloc	gist_fp_mib	93
resident	kmem_cache_alloc	csearch_rss_mib	11
resident	kmem_cache_alloc	csearch_fp_mib	5
resident	func	gist_rss_mib	566
resident	func	gist_fp_mib	96
resident	func	csearch_rss_mib	55
resident	func	csearch_fp_mib	10
resident	})	gist_rss_mib	577
resident	})	gist_fp_mib	96
resident	})	csearch_rss_mib	5
resident	})	csearch_fp_mib	3
resident	pgxpool (zero-candidate, index elides every read)	gist_rss_mib	583
resident	pgxpool (zero-candidate, index elides every read)	gist_fp_mib	96
resident	pgxpool (zero-candidate, --no-index (no index mapped))	gist_rss_mib	535
resident	pgxpool (zero-candidate, --no-index (no index mapped))	gist_fp_mib	82
walkcost	gist	maxrss_mib	54.1
walkcost	gist	owned_mib	37.5
walkcost	gist	seconds	5.5
walkcost	rg	maxrss_mib	33.9
walkcost	rg	owned_mib	31.9
walkcost	rg	seconds	5.9
