id	expect	verdict	speedup	p	gist_ms	rg_ms	floor
literal-rare-files	win	win	9.066	0.0009	44.168	400.444	6.8
literal-common-files	win	win	4.5	0.0009	94.675	425.996	3.38
literal-rare-count	win	win	8.904	0.0009	45.254	402.946	6.68
literal-rare-lines	win	win	8.991	0.0009	44.905	403.728	6.74
literal-rare-only-matching	win	win	7.966	0.0009	51.24	408.168	5.97
word-common-files	win	win	6.466	0.0009	63.994	413.793	4.85
ignore-case-rare-files	win	win	6.531	0.0009	61.524	401.821	4.9
maxcount-common-lines	win	win	4.31	0.0009	99.286	427.953	3.23
invert-count-subtree	win	win	2.282	0.0009	3.744	8.544	1.71
regex-anchored-rare-files	win	win	5.029	0.0009	81.257	408.677	3.77
regex-alternation-files	win	win	8.744	0.0009	46.008	402.303	6.56
glob-go-rare-files	win	win	7.804	0.0009	14.347	111.96	5.85
type-go-rare-files	win	win	7.576	0.0009	13.945	105.642	5.68
subtree-rare-lines	win	win	10.729	0.0009	6.417	68.843	8.05
pcre-lookahead-rare-files	win	win	8.45	0.0009	45.329	383.044	6.34
pcre-lookahead-common-files	win	win	4.698	0.0009	82.234	386.32	3.52
pcre-backref-files	win	win	16.103	0.0009	671.231	10808.645	12.08
multiline-rare-files	win	win	4.22	0.0009	92.789	391.607	3.17
multiline-common-lazy-dotstar-files	win	win	4.065	0.0009	99.098	402.842	3.05
