id	expect	verdict	speedup	p	gist_ms	rg_ms	floor
literal-rare-files	win	win	3.143	0.0	131.01	411.827	2.36
literal-common-files	parity	win	2.344	0.0	187.384	439.188	0.75
literal-rare-count	win	win	3.606	0.0	121.46	437.97	2.7
literal-rare-lines	win	win	3.588	0.0	117.25	420.75	2.69
literal-rare-only-matching	win	win	2.365	0.0	165.682	391.916	1.77
word-common-files	parity	win	3.169	0.0	142.381	451.232	0.75
ignore-case-rare-files	win	win	1.428	0.0	293.38	418.996	1.07
maxcount-common-lines	parity	win	2.296	0.0	191.933	440.642	0.75
invert-count-subtree	parity	win	1.777	0.0	5.066	9.002	0.75
regex-anchored-rare-files	win	win	2.883	0.0	151.531	436.841	2.16
regex-alternation-files	parity	win	3.959	0.0	106.002	419.612	0.75
glob-go-rare-files	win	win	1.181	0.0	86.649	102.318	1.0
type-go-rare-files	win	win	1.452	0.0	70.51	102.395	1.09
subtree-rare-lines	win	win	1.657	0.0	38.591	63.93	1.24
pcre-lookahead-rare-files	win	win	3.577	0.0	117.836	421.498	2.68
pcre-lookahead-common-files	win	win	2.207	0.0	181.387	400.358	1.66
pcre-backref-files	loss	parity	0.936	0.4357	14522.434	13596.419	0.936
multiline-rare-files	loss	loss	0.837	0.0194	868.733	727.015	0.837
multiline-common-lazy-dotstar-files	loss	loss	0.357	0.0	1919.859	685.163	0.357
